id,sentence,labels
11,The implementation of the monitoring analysis and reporting arrangements will involve the systematic collection of timely accurate reliable and objective information on conflict related sexual violence to inform prevention efforts including early warning It will also reinforce synergies with United Nations country team members particularly the United Nations Population Fund the United Nations Children's Fund UNICEF the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women the Office of the United Nations High Commissioner for Refugees and the Joint United Nations Programme on HIV AIDS to ensure complementarity with ongoing efforts by humanitarian agencies to deliver services to survivors of conflict related sexual violence,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O B-short B-short O O O O O O O O O O O O O O O O O O O
12,Moro Islamic Liberation Front MILF Rebolusyonaryong Partidong Manggagawa ng Pilipinas Revolutionary Proletarian Army Alex Boncayao Brigade RPMP-RPA-ABB Rebolusyonaryong Partidong Manggagawa ng Mindanao RPM-M and Communist Party of the Philippines New Peoples Army National Democratic Front CPPNPA-NDF,B-long I-long I-long I-long B-short O O O O O O O O O O O B-short B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O B-short
13,Executive Boards of the United Nations Development Programme the United Nations Population Fund and the United Nations Office for Project Services of the United Nations Children s Fund and of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women There will be a joint informal consultation of the Executive Boards of the United Nations Development Programme the United Nations Population Fund and the United Nations Office for Project Services of the United Nations Children s Fund and of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women on the lessons learned from the common country programme document process on Tuesday 20 December 2011 from 3 to 6 p.m. in Conference Room 1 NLB,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O B-short O O O O B-short
14,1 4 Signing of E roads a The letter E and the numerals appearing on the road identification sign prescribed in Annex III to the European Agreement on Main International Traffic Arteries AGR should be of the same height,O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O
15,23 The Forum recommends that the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women and the bureau of the fifty seventh session of the Commission on the Status of Women include indigenous women as experts on violence against women in the interactive panels and guarantee the participation of indigenous women in the process of preparation for and during the fifty seventh session of the Commission,O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
16,Accordingly if all projects approved or to be approved within the next two years are implemented as agreed Parties operating under Article 5 will have achieved a 97 per cent reduction in the ODP value of ozone depleting substances for which they currently have baselines The remaining 3 per cent is almost entirely methyl bromide MeBr which Article 5 Parties are currently addressing more quickly than required by the Protocol,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O O O O O O O O
17,a Not inclusive of TRAC 1 1 2 which is allocated regionally for subsequent country application Abbreviations GEF Global Environment Facility IPF indicative planning figure SPPD support for policy and programme development STS support for technical services TRAC target for resource assignment from the core UNV United Nations Volunteers,O O O O B-short O O O O O O O O O O O O B-short B-long I-long I-long B-short B-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long I-long B-short B-long I-long I-long
18,Capacity building to Improve Trade Finance and Investment Prospects for the Russian Timber Sector Capacity building in Trade Facilitation and Electronic Business in the Mediterranean Economic Commission for Europe Economic and Social Commission for Western Asia and Economic Commission for Africa United Nations extensions for aligned electronic trade Documents UNeDocs All projects and relevant information will be available on the Internet at http www,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O
19,Century Dynamics is also conducting three studies for ESA and BNSC Astrium using AUTODYN Those studies relate a to impacts on honeycomb satellite structures b to impacts on carbon carbon fibre reinforced plastics CFRP based satellite structures and c to very oblique impacts 85 and 89 degrees on the mirror of the XMM Newton mission,O O O O O O O O B-short O B-short O O B-short O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O B-short O O
20,For further information please contact Ms Jutta Edthofer Office of the President of the General Assembly e mail edthofer un org Special event in observance of the International Day for the Elimination of Violence against Women on the theme A promise is a promise organized by the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women Wednesday 28 November 2012 from 15 15 to 16 15 in Conference Room 6 NLB,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O B-short
21,The appointments included five LJM members to the positions of Minister of Finance and Economic Planning Minister of Reconstruction Development and Infrastructure Minister of Technology Development and CapacityBuilding Commissioner for Voluntary Returns and Resettlement and Commissioner for Truth Justice and Reconciliation Other appointees included members of the National Congress Party and the Sudan Liberation Army SLA Unity and members of the parties signatory to the Declaration of Commitment to the Darfur Peace Agreement,O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O
22,1 917 367 4165 UNU midday forum on Reforming aid allocation criteria taking into account vulnerability organized by the United Nations University Office in New York UNU-ONY Thursday 14 October 2010 from 1 15 to 2 30 p.m. in Conference Room E NLB,O O O O B-short O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O B-short
23,The fifteenth informal meeting of the GRPE working group on the world wide heavy duty certification procedure WHDC was held on 21 May 2003 under the chairmanship of Mr C Havenith Netherlands Experts from the following countries and organizations participated in the work Belgium Canada Czech Republic Denmark Finland France Germany Hungary Italy Japan Netherlands Norway Poland Republic of Korea Republic of South Africa Russian Federation Serbia and Montenegro Sweden Switzerland United Kingdom United States of America European Commission EC International Organization for Standardization ISO International Organization of Motor Vehicle Manufacturers OICA International Motorcycle Manufacturers Association IMMA European LPG Association AEGPL Engine Manufacturers Association EMA,O O O O O O B-short O O O O O O O O O O B-short O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short B-long I-long I-long I-long B-short O O O O O O B-short B-long I-long I-long I-long B-short O B-short O B-short B-long I-long I-long B-short
24,Grand total 776a Abbreviations AOS administrative and operational services GEF Global Environmental Facility IPF indicative planning figure SPPD support for policy and programme development STS support for technical services and TRAC target for resource assignment from the core,O O O O B-short B-long I-long I-long I-long B-short B-long I-long I-long B-short B-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long O B-short B-long I-long I-long I-long I-long I-long I-long
25,7 The tenth informal meeting of the WLTP subgroup on the Development of the Test Procedures WLTP-DTP was held on 6 June 2012 with Mr G D Urbano Switzerland as Chair,O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O
26,b Implementation of the outcome of the Fourth World Conference on Women and of the twenty third special session of the General Assembly The meeting was called to order at 10 a.m. Ms Puri Assistant Secretary General for Intergovernmental Support and Strategic Partnerships United Nations Entity for Gender Equality and the Empowerment of Women UN-Women said that it was a time of great promise and opportunity for women and girls around the world but also one of disappointment given the persistent challenges and slow progress towards the full realization of women s rights and empowerment,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
27,Norway strongly believes that the time has come to commit ourselves to ensuring that concrete steps are taken towards radically improving the livelihood of the many African women men and children who live in absolute poverty In other words we should be content with no less than a common understanding and commitment from all involved parties the countries in sub Saharan Africa and bilateral donors as well as the various United Nations agencies to tackle the problems of Africa by operationalizing the United Nations New Agenda for the Development of Africa in the 1990s UN-NADAF through the United Nations System wide Special Initiative for Africa,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long O O O B-short O O O O O O O O O O
28,Recognizing the opportunity to facilitate a clean production approach to the manufacture of hydrochlorofluorocarbon-22 HCFC-22 for both controlled and feedstock uses Recalling decision XVIII/12 in which the parties requested the Ozone Secretariat to facilitate consultations by the Technology and Economic Assessment Panel with relevant organizations to enable the Panel to draw on the work already carried out under those organizations including work relating to HCFC22 Recalling also the report of the Panel submitted pursuant to decision XVIII/12 in particular the section on the role of the Clean Development Mechanism of the Kyoto Protocol to the United Nations Framework Convention on Climate Change with respect to hydrofluorocarbon-23 HFC-23 by product emissions resulting from the production of HCFC22 Recognizing the relationship of HFC-23 to the controlled substance HCFC-22 given that the production of HCFC-22 results in the by production of emissions of HFC-2 3 and that the production of HCFC-22 for feedstock uses is expected to continue beyond the phase out of production for uses controlled under the Montreal Protocol,O O O O O O O O O O O O O B-long B-short O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long B-short O O O O O O O O B-short O O O O B-short O O O O B-short O O O O O B-short O O O O O O O O B-short O O O O O O B-short O O O O O O O O O O O O O O O O O O O O
29,Those field experts are also drawn upon to service relevant national and regional workshops organized by the Branch The Global Programme further promotes the involvement of local professionals in the creation and delivery of training programmes in the areas of anti money laundering and countering the financing of terrorism donor coordination meetings and the activities of Financial Action Task Force on Money Laundering FATF style regional bodies,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long O O O B-short O O O
30,33 The Permanent Forum takes note of the international campaign to end sex discrimination in nationality and citizenship laws to be launched in June 2014 under the auspices of a steering committee consisting of Equality Now Equal Rights Trust Tilburg University the Office of the United Nations High Commissioner for Refugees and the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short
31,July August 2011 a second round of consultations was conducted during the International Statistical Institute ISI satellite conference on statistical capacity building in Krakow Poland the ISI 2011 Statistics Congress in Dublin and the Committee for the Coordination of Statistical Activities round table in Luxembourg In addition the Action Plan was presented to experts in gender statistics of the Government of the United States of America OECD Statistics Division and United Nations Entity for Gender Equality and the Empowerment of Women UN-Women,O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short
32,Quick impact projects Interim funding for 6 months United Nations Support Mission in Libya UNSMIL a United Nations Assistance Mission in Afghanistan UNAMA a,O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O B-long I-long I-long I-long I-long I-long B-short O
33,For example in the first quarter of 2006 the average immunization rates were better than those for the same period in 2005 By and large they reached or exceeded the national targets for 2006 namely 87 per cent BCG 71 per cent DPT3-P3 65 per cent VAR 65 per cent VAA 71 per cent VAT2+ and 65 per cent VitA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O B-short O O O B-short O O O B-short O O O B-short O O O O B-short
34,Such exchanges of information are made through the FIU.NET web site and the Egmont Secure Web site The Anti Terrorism Unit of the Criminal Investigation Service of the Grand Ducal Police can also exchange counter terrorism information by using the established police systems for the exchange of information within the framework of the International Criminal Police Commission ICPO Interpol the European Police Office Europol the Convention implementing the Schengen Agreement of 19 June 1990 Eurojust the Police Working Group on Terrorism under Pillar Three Justice and Home Affairs of the European Union or through bilateral police channels,O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
35,31 Supportive work is also being done by the Women In Leadership Advocacy Network WinLa which is being led by the two women parliamentarians and all female Chief Executive Officers in the public sector,O O O O O O O O O B-long I-long I-long I-long O B-short O O O O O O O O O O O O O O O O O O O
36,Scope of international obligations 10 Joint Submission 9 JS 9 stated that Nigeria acceded to or ratified some of the international human rights instruments in accordance with those recommendations in paragraph 103 1 of the Report,O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O
37,Recalling also Security Council resolution 1542 2004 of 30 April 2004 by which the Council decided to establish the United Nations Stabilization Mission in Haiti for an initial period of six months Recalling further its resolution 58 311 of 18 June 2004 on the financing of the Mission Reaffirming the general principles underlying the financing of United Nations peacekeeping operations as stated in General Assembly resolutions 1874 SIV of 27 June 1963 3101 XXVIII of 11 December 1973 and 55 235 of 23 December 2000 Mindful of the fact that it is essential to provide the Mission with the necessary financial resources to enable it to fulfil its responsibilities under the relevant resolution of the Security Council,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
38,Methodological issues under the Kyoto Protocol Implications of the establishment of new hydrochlorofluorocarbon-22 HCFC-22 facilities seeking to obtain certified emission reductions for the destruction of hydrofluorocarbon-23 HFC-23 The numerical value for forest management under Article 3 paragraph 4 of the Kyoto Protocol inscribed for Italy,O O O O O O O O O O O O B-long B-short O O O O O O O O O O O B-long B-short O O O O O O O O O O O O O O O O O O
39,"The MOU between the COP and IFAD relating to housing the GM approved by the COP by its Decision 10 COP 3 contains several provisions which have governed the GM relations with its housing institution as well as the UNCCD institutions and bodies As further developed under section 3 below on Provisions of the Memorandum of Understanding between the Conference of Parties and the International Fund for Agricultural Development IFAD"" these provisions are central to GM governance accountability and reporting challenges",O B-short O O B-short O B-short O O O O B-short O O O B-short O O O O B-short O O O O O O O O B-short O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O B-short O O O O O
40,Though budgetary constraints thus weigh very heavily on the capacity for public funding there are nevertheless means of strengthening the leverage exerted by public money to attract private capital such as the concession system which has proved its worth and is continuing to do so Public private partnerships PPPs are today still a viable option for financing transport infrastructure in Europe but they face major economic legal and in some cases political obstacles,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O
41,The UNICEF integrated budget 2014 2017 1 Welcomes the UNICEF integrated budget 2014 2017 in response to the request of the Executive Board in its decision 2009 20 to present a single integrated budget that includes all UNICEF budgetary categories with an improved results focus and enhanced linkages with the strategic plan results and harmonized in methodology and presentation including on cost classification attribution and recovery with the integrated budgets of the United Nations Development Programme the United Nations Population Fund and the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women 2,O B-short O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O
42,1 212 963 4607 or visit the following Web site www un org esa socdev social intldays IntlDay 2010 html UNU Worldwide in New York Series on Climate change and low income countries organized by the United Nations University Office in New York UNU-ONY From 1 15 to 2 30 p.m. in Conference Room 7 NLB,O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O B-short O O O O B-short
43,Ten years previously serious gaps in the international protection system had become evident but the situation had improved somewhat since then Firstly the Agenda for Protection and the 10 Point Plan of Action had enabled States and the Office of the United Nations High Commissioner for Refugees UNHCR to establish priorities for action particularly with regard to the protection of women and children repatriation statelessness and local integration in addition to the management of asylum and migration linked movements,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
44,Citing examples in each area he noted that innovation was helping UNICEF to accelerate progress across the organization in programmes products processes and partnerships Examples ranged from the use of SMS technology with the participation of children and youths to the creation of innovative products to improve children s health to the organization wide implementation of VISION Virtual Integrated System of Information,O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O B-short B-long I-long I-long I-long I-long
45,A Organization and functions Effective 1 September 1993 an Office for Inspections and Investigations OII was established ST SGB 262 It incorporated the following existing units the Internal Audit Division IAD the Central Evaluation Unit CEU the Central Monitoring Unit CMU and the Management Advisory Service MAS,O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O B-long I-long I-long B-short O B-long I-long I-long B-short O B-long I-long I-long B-short O O B-long I-long I-long B-short
46,Nations FAO 47 50 b International Atomic Energy Agency IAEA 51 52 d International Labour Organisation ILO 56 61 e International Maritime Organization IMO 62 66,O B-short O O O B-long I-long I-long I-long B-short O O O B-long I-long I-long B-short O O O B-long I-long I-long B-short O O
47,WAFUNIF participated in the Seoul International Conference of Non-Governmental Organizations NGOs on the theme The Role of NGOs in the 21 Century Inspire Empower Act was held from 10 to 16 October 1999 in the Republic of Korea It was organized by Kyung He University GCS International the Conference of NGOs in Consultative Relationship with the UN CONGO and the Executive Committee of NGOs Associated with the UN Department of Public Information NGODPI.,B-short O O O O O O O B-long I-long B-short O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O B-long I-long I-long I-long I-long I-long O O B-short B-short O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long B-short
48,621 1512 Zinc ammonium nitrite is not permitted for carriage on sea routes 622 1571 Barium azide with a water content lower than the stated limit is RID not to be accepted for carriage ADR a substance of Class 1 identification No 0224,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O B-short O O O O O O O O
49,Cannabis resin Ecstasy MDA MDEA MDMA Note MDA methylenedioxyamphetamine MDEA 3 4 methylenedioxyethylamphetamine,O O B-short B-short B-short B-short O B-short B-long B-short O O B-long
50,6 Please respond to the claim that the Government grants prima facie refugee status to refugees from south Somalia while persons with other nationalities seeking asylum must register with the National Assistance Office for Refugees and Disaster Stricken People ONARS and that non Somalis in practice rarely receive asylum,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long O O O O B-short O O O O O O O O O
51,"Ninety per cent of the population live in rural areas and the majority make their living from subsistence agriculture The highest incidence of poverty is in the northern parts of the country where about 81 per cent of the population have a real per capita monthly expenditure of less than USh 3,000 US$ 3",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short
52,ISOFIX top tether strap means a webbing strap which extends from the top of an ISOFIX child restraint system to the top tether anchorage and which is equipped with an adjustment device a tension relieving device and a top tether connector to read Figure 1 Static force application device S-FAD isometric views Figure 2 Static force application device S-FAD dimensions,B-short O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O O O O B-short O
53,Lord's Resistance Army LRA a c 5 Mai Mai groups in North and South Kivu including the Patriotes résistants congolais PARECO a c Parties in Iraq,B-long I-long I-long B-short O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O
54,CD NTB WP 163 dated 19 August 1994 submitted by the delegation of the Russian Federation entitled Proposed amendments to the protocol draft language CD NTB WP 137 Section On Site Inspection CD NTB WP 164 dated 16 August 1994 submitted by the delegation of Australia entitled Progress report on preliminary event identification PEI,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short
55,Enhanced capacity of Government institutions Southern Sudan Relief and Rehabilitation Commission Humanitarian Aid Commission and asylum institutions Office of the Commissioner for Refugees to provide durable solutions for the return of displaced populations UNHCR returns integrated DDR Unit DDR International Organization for Migration IOM UNDP WFP United Nations Population Fund UNFPA UNICEF UNV UNEP Environmental criteriaa integrated into the absorptive capacity assessments of the receiving area as part of return and reintegration programming Government of National Unity Government of Southern Sudan Northern and Southern DDR Commissions Northern Sudan Mine Action Commission Southern Sudan Demining Commission Ministry of Health Southern Sudan Relief and Rehabilitation Commission Ministry of Education Science and Technology and state governments,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O B-short O B-short B-long I-long I-long I-long B-short B-short B-short B-long I-long I-long I-long B-short B-short B-short B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O
56,Recognizing also the necessity for cooperation and coordination among the actors involved in a specific mediation context as well as the need to build capacity for mediation activities Welcoming different initiatives for mediation including the mediation for peace initiative as a step towards strengthening the role of mediation in the peaceful settlement of disputes conflict prevention and resolution Recognizing the importance of the full and effective participation of women at all levels at all stages and in all aspects of the peaceful settlement of disputes conflict prevention and resolution as well as the provision of adequate gender expertise for all mediators and their teams noting that further efforts are necessary to address the lack of women as chief or lead peace mediators and in this context reaffirming the full and effective implementation of all relevant United Nations resolutions and the Beijing Declaration and Platform for Action and furthermore welcoming the role of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women in this respect 1,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O
57,ii Earth moving machinery The Working Party was informed that at the START Team meeting in March 2003 representatives representatives of from the earth moving machinery sector expressed their interest in following the pattern of the telecom industry initiative namely to prepare a draft Common Regulatory Objective CROss for certain types of machinery and equipment and submit them for comment and consideration to interested Governments,O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O
58,c International economic and social classifications d Common open standards for the exchange and sharing of data and metadata Report of the Statistical Data and Metadata eXchange SDMX sponsors e Statistical capacity building,O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O
59,The partnership submitted a consultative paper to the Platform s secretariat in August 2012 in response to an invitation issued at the second session of the plenary meeting to determine modalities and institutional arrangements for an intergovernmental science policy platform on biodiversity and ecosystem services in April 2012 In addition UNDP made a submission on the concept of a Biodiversity and Ecosystem Services BES Net web portal The consultative paper outlines potential activities and broader partnerships and welcomes feedback from stakeholders through the Platform s website,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O B-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O
60,Summary The present report was prepared in accordance with Economic and Social Council decision 2013 235 It provides a summary of the recent activities undertaken by the Statistics Division of the Department of Economic and Social Affairs and the Inter agency and Expert Group on Gender Statistics under the umbrella of the Global Gender Statistics Programme including the online dissemination of the minimum set of gender indicators and the implementation of the Evidence and Data for Gender Equality Initiative jointly executed by the Statistics Division and the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short
